Date,country_region,retail_recreation_change,grocery_pharmacy_change,parks_change,transit_change,workplaces_change,residential_change,mobility_drop_retail,mobility_drop_transit,mobility_drop_workplace,residential_increase,grocery_spike,severe_lockdown_behavior,partial_restrictions,num_posts,avg_compound,neg_fraction,pos_fraction,high_negative_sentiment,high_positive_sentiment,sentiment_shift_detected,sentiment_improved,sentiment_worsened,sentiment_volatility,fear_keywords_present,anger_mentioned,sadness_keywords_present,anxiety_keywords_present,dominant_emotion_fear,dominant_emotion,mixed_emotions,covid_topic_detected,lockdown_mentioned,vaccine_mentioned,health_concern,compliance_discussed,policy_governance_discussion,solidarity_messages,weekend,emotion_with_mobility_signal,emotion_mobility_mismatch,calm_mobile_baseline,dominant_emotion_fear_lag1,dominant_emotion_fear_lag3,dominant_emotion_fear_lag7,high_negative_sentiment_lag1,high_negative_sentiment_lag3,high_negative_sentiment_lag7,high_positive_sentiment_lag1,high_positive_sentiment_lag3,high_positive_sentiment_lag7,solidarity_messages_lag1,solidarity_messages_lag3,solidarity_messages_lag7,compliance_discussed_lag1,compliance_discussed_lag3,compliance_discussed_lag7,health_concern_lag1,health_concern_lag3,health_concern_lag7,sentiment_shift_detected_lag1,sentiment_shift_detected_lag3,sentiment_shift_detected_lag7,sentiment_worsened_lag1,sentiment_worsened_lag3,sentiment_worsened_lag7,sentiment_improved_lag1,sentiment_improved_lag3,sentiment_improved_lag7,lockdown_mentioned_lag1,lockdown_mentioned_lag3,lockdown_mentioned_lag7,vaccine_mentioned_lag1,vaccine_mentioned_lag3,vaccine_mentioned_lag7,policy_governance_discussion_lag1,policy_governance_discussion_lag3,policy_governance_discussion_lag7,fear_keywords_present_lag1,fear_keywords_present_lag3,fear_keywords_present_lag7,anxiety_keywords_present_lag1,anxiety_keywords_present_lag3,anxiety_keywords_present_lag7,grocery_spike_lead2,grocery_spike_lead7,mobility_drop_retail_lead2,mobility_drop_retail_lead7,mobility_drop_transit_lead2,mobility_drop_transit_lead7,mobility_drop_workplace_lead2,mobility_drop_workplace_lead7,residential_increase_lead2,residential_increase_lead7,severe_lockdown_behavior_lead2,severe_lockdown_behavior_lead7,partial_restrictions_lead2,partial_restrictions_lead7,sentiment_shift_detected_lead2,sentiment_shift_detected_lead7,sentiment_worsened_lead2,sentiment_worsened_lead7,sentiment_improved_lead2,sentiment_improved_lead7,high_negative_sentiment_lead2,high_negative_sentiment_lead7,high_positive_sentiment_lead2,high_positive_sentiment_lead7,solidarity_messages_lead2,solidarity_messages_lead7,compliance_discussed_lead2,compliance_discussed_lead7,vaccine_mentioned_lead2,vaccine_mentioned_lead7,health_concern_lead2,health_concern_lead7
2020-03-28,United Arab Emirates,-72.0,-47.0,-68.0,-80.0,-56.0,28.0,1,1,1,1,0,1,0,12.0,0.4533666666666667,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.4558440528904107,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
2020-03-29,United Arab Emirates,-55.0,-26.0,-53.0,-69.0,-45.0,26.0,1,1,1,1,0,1,0,12.0,0.1787166666666666,0.0833333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.4657376171789816,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
2020-03-30,United Arab Emirates,-57.0,-27.0,-53.0,-69.0,-46.0,25.0,1,1,1,1,0,1,0,9.0,0.2848444444444444,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.5769959447404406,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1
2020-03-31,United Arab Emirates,-56.0,-26.0,-53.0,-69.0,-46.0,25.0,1,1,1,1,0,1,0,12.0,0.2339833333333333,0.0833333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.4469985306339261,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020-04-01,United Arab Emirates,-56.0,-24.0,-53.0,-70.0,-46.0,25.0,1,1,1,1,0,1,0,7.0,0.0238285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,0.0,1.0,0.5413374171287937,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
2020-04-02,United Arab Emirates,-58.0,-25.0,-56.0,-71.0,-47.0,28.0,1,1,1,1,0,1,0,9.0,-0.1595,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4277318033015029,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2020-04-03,United Arab Emirates,-69.0,-39.0,-75.0,-79.0,-44.0,22.0,1,1,1,1,0,1,0,2.0,0.4467,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.4467,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1
2020-04-04,United Arab Emirates,-58.0,-27.0,-58.0,-72.0,-37.0,21.0,1,1,1,1,0,1,0,7.0,-0.4088,0.7142857142857143,0.0,1.0,0.0,1.0,0.0,1.0,0.2518596150919907,0.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2020-04-05,United Arab Emirates,-61.0,-30.0,-58.0,-79.0,-57.0,31.0,1,1,1,1,0,1,0,16.0,-0.041925,0.1875,0.25,0.0,0.0,1.0,1.0,0.0,0.4320282029277718,1.0,0.0,0.0,0.0,1.0,fear,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,United Arab Emirates,-63.0,-32.0,-58.0,-78.0,-56.0,30.0,1,1,1,1,0,1,0,9.0,0.3818111111111111,0.1111111111111111,0.4444444444444444,0.0,1.0,1.0,1.0,0.0,0.4950419453483927,0.0,0.0,0.0,1.0,0.0,anxiety,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0
