premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain
"mobility_drop_retail, dominant_emotion_fear_lag1",mobility_drop_retail_lead7,122,18.56925418569254,90.98360655737704,4.239448901290548,0.12909794763801144,True
"mobility_drop_retail, dominant_emotion_fear_lag3",mobility_drop_retail_lead2,122,18.56925418569254,85.24590163934425,3.9720962678758283,0.11844345753146654,True
"mobility_drop_retail, dominant_emotion_fear_lag3",mobility_drop_retail_lead7,122,18.56925418569254,91.80327868852459,4.277642134635508,0.13062001765323214,True
"mobility_drop_retail, dominant_emotion_fear_lag7",mobility_drop_retail_lead2,123,18.72146118721461,82.92682926829268,3.8640373637778933,0.11507266320552115,True
"mobility_drop_retail, dominant_emotion_fear_lag7",mobility_drop_retail_lead7,123,18.72146118721461,91.869918699187,4.280747275557863,0.13181543337294885,True
"mobility_drop_retail, solidarity_messages_lag1",mobility_drop_retail_lead2,87,13.24200913242009,83.9080459770115,3.90975788701394,0.08269218740226433,True
"mobility_drop_retail, solidarity_messages_lag1",mobility_drop_retail_lead7,87,13.24200913242009,88.50574712643679,4.123991195891416,0.08878046746314713,True
"mobility_drop_retail, solidarity_messages_lag3",mobility_drop_retail_lead2,86,13.08980213089802,84.88372093023256,3.95522018802573,0.08301884169776833,True
"mobility_drop_retail, solidarity_messages_lag3",mobility_drop_retail_lead7,86,13.08980213089802,91.86046511627907,4.280306778822365,0.09215126178909253,True
"mobility_drop_retail, solidarity_messages_lag7",mobility_drop_retail_lead2,85,12.93759512937595,85.88235294117646,4.001752190237797,0.0833454959932723,True
"mobility_drop_retail, solidarity_messages_lag7",mobility_drop_retail_lead7,85,12.93759512937595,89.41176470588236,4.166207759699625,0.0879117060389344,True
"mobility_drop_retail, health_concern_lag1",mobility_drop_retail_lead2,91,13.850837138508371,85.71428571428571,3.9939209726443767,0.0889959202963519,True
"mobility_drop_retail, health_concern_lag1",mobility_drop_retail_lead7,91,13.850837138508371,93.4065934065934,4.352349777881693,0.0996504104028968,True
"mobility_drop_retail, health_concern_lag3",mobility_drop_retail_lead2,91,13.850837138508371,84.61538461538461,3.942716857610475,0.0874738502811312,True
"mobility_drop_retail, health_concern_lag3",mobility_drop_retail_lead7,91,13.850837138508371,91.20879120879121,4.249941547813888,0.0966062703724554,True
"mobility_drop_retail, health_concern_lag7",mobility_drop_retail_lead2,94,14.30745814307458,86.17021276595744,4.015165233137166,0.09258216745550203,True
"mobility_drop_retail, health_concern_lag7",mobility_drop_retail_lead7,94,14.30745814307458,90.42553191489363,4.2134449977365325,0.09867044751638483,True
"mobility_drop_retail, sentiment_shift_detected_lag1",mobility_drop_retail_lead2,90,13.698630136986301,83.33333333333334,3.8829787234042556,0.08475636454619379,True
"mobility_drop_retail, sentiment_shift_detected_lag1",mobility_drop_retail_lead7,90,13.698630136986301,86.66666666666667,4.038297872340426,0.08932257459185589,True
"mobility_drop_retail, sentiment_shift_detected_lag3",mobility_drop_retail_lead2,90,13.698630136986301,81.11111111111111,3.7794326241134755,0.08171222451575239,True
"mobility_drop_retail, sentiment_shift_detected_lag3",mobility_drop_retail_lead7,90,13.698630136986301,91.11111111111111,4.245390070921986,0.09541085465273869,True
"mobility_drop_retail, sentiment_shift_detected_lag7",mobility_drop_retail_lead2,86,13.08980213089802,86.04651162790698,4.009401286491836,0.08454091171298903,True
"mobility_drop_retail, sentiment_shift_detected_lag7",mobility_drop_retail_lead7,86,13.08980213089802,93.02325581395348,4.334487877288471,0.09367333180431323,True
"mobility_drop_retail, lockdown_mentioned_lag1",mobility_drop_retail_lead2,84,12.785388127853881,91.66666666666666,4.2712765957446805,0.0897604303496591,True
"mobility_drop_retail, lockdown_mentioned_lag1",mobility_drop_retail_lead7,84,12.785388127853881,97.61904761904762,4.548632218844985,0.0973707804257626,True
"mobility_drop_retail, lockdown_mentioned_lag3",mobility_drop_retail_lead2,82,12.480974124809741,93.90243902439023,4.375454073689673,0.09041373894066707,True
"mobility_drop_retail, lockdown_mentioned_lag3",mobility_drop_retail_lead7,82,12.480974124809741,96.34146341463415,4.489102231447847,0.09345787897110847,True
"mobility_drop_retail, lockdown_mentioned_lag7",mobility_drop_workplace,80,12.1765601217656,77.5,4.758644859813084,0.07453741350032086,True
"mobility_drop_retail, lockdown_mentioned_lag7",mobility_drop_retail_lead2,80,12.1765601217656,93.75,4.368351063829787,0.08802290750123364,True
"mobility_drop_retail, lockdown_mentioned_lag7",mobility_drop_retail_lead7,80,12.1765601217656,98.75,4.601329787234043,0.09411118756211644,True
"mobility_drop_retail, lockdown_mentioned_lag7",mobility_drop_workplace_lead2,80,12.1765601217656,76.25,4.681892523364486,0.07301534348510016,True
"mobility_drop_retail, mobility_drop_retail_lead2",mobility_drop_retail_lead7,120,18.2648401826484,94.16666666666667,4.387765957446809,0.1327953962594608,False
"mobility_drop_retail, mobility_drop_retail_lead7",mobility_drop_retail_lead2,129,19.63470319634703,87.59689922480621,4.081642751113311,0.12985550759992492,False
"mobility_drop_retail, mobility_drop_workplace_lead2",mobility_drop_workplace,89,13.54642313546423,88.76404494382022,5.450278273653261,0.09818162442169448,False
"mobility_drop_retail, mobility_drop_workplace_lead2",mobility_drop_workplace_lead7,89,13.54642313546423,86.51685393258427,5.312296545206343,0.09513748439125308,False
"mobility_drop_retail, mobility_drop_workplace_lead7",mobility_drop_workplace,85,12.93759512937595,94.11764705882352,5.7789994502473885,0.1006952408090833,False
"mobility_drop_retail, mobility_drop_workplace_lead7",mobility_drop_workplace_lead2,85,12.93759512937595,90.58823529411765,5.562286970863112,0.0961290307634212,False
"mobility_drop_retail, residential_increase_lead2",mobility_drop_retail_lead2,138,21.00456621004566,86.23188405797102,4.0180388529139694,0.13604803903171325,False
"mobility_drop_retail, residential_increase_lead2",mobility_drop_retail_lead7,138,21.00456621004566,92.7536231884058,4.321924144310824,0.14974666916869955,False
"mobility_drop_retail, residential_increase_lead7",mobility_drop_retail_lead2,136,20.700152207001523,88.23529411764706,4.111389236545683,0.13822341763794194,False
"mobility_drop_retail, residential_increase_lead7",mobility_drop_retail_lead7,136,20.700152207001523,92.64705882352942,4.316958698372966,0.14735583772926614,False
"mobility_drop_retail, sentiment_shift_detected_lead2",mobility_drop_retail_lead2,87,13.24200913242009,83.9080459770115,3.90975788701394,0.08269218740226433,True
